created_at	favorite_count	retweet_count	source	retweeted	id	full_text	hashtags
2021-01-25 23:15:15	179637	20607	Twitter for iPhone	False	1353843908086804481	I dunno, if you’re a politician that thinks ending discrimination is “divisive,” you might not want to publicly advertise that https://t.co/Ot5cp6mqTy	[]
2021-01-25 23:04:11	176445	18868	Twitter for iPhone	False	1353841122594971648	If Republicans have suddenly begun to deeply value and prioritize bipartisanship in Washington, they can start by supporting $2k checks and retroactive unemployment for people. Then it will be bipartisan 🌞	[]
2021-01-25 22:59:54	0	7364	Twitter for iPhone	False	1353840046802161666	RT @CoriBush: I know you’re not used to these, but they’re called consequences, Josh. And you’re handling them very poorly. Resign. https://t.co/hgMzMRIpwm	[]
2021-01-25 17:23:53	0	4958	Twitter for iPhone	False	1353755485078491138	RT @RashidaTlaib: Just so folks are clear, as a former immigration &amp; social justice attorney, I watched firsthand under President Obama, and later Trump, that @ICEgov acts as a rogue agency that disregards the law and human rights. #AbolishICE once and for all. https://t.co/hinfPbbo19	[]
2021-01-25 16:57:02	114112	14242	Twitter for iPhone	False	1353748725118758913	Listening to them, you’d really think some Conservatives interpret the right to free speech as “I have the right to be liked, accepted, and popular no matter what I say, who I endanger, or how much I lie”	[]
2021-01-25 16:52:16	217222	29010	Twitter for iPhone	False	1353747528316035072	"You were given prime space to say this in a billionaire-run rag that specifically amplifies right-wing views, part of a entire subsidized industry of right-wing outlets.

You’re not “muzzled,” Hawley. You’re just deeply unpopular, and aided insurrection.

And you need to resign. https://t.co/VjNucSfhrT"	[]
2021-01-25 00:06:50	0	24505	Twitter for iPhone	False	1353494502602903558	RT @BetoORourke: Don’t let him off the hook. Don’t let him make this about “Hollywood” — this is about Ted Cruz aiding and abetting an insurrection that killed 5 people including a cop and very nearly ended in the murders of members of Congress and the Vice President. https://t.co/ZAsy2tDn3E	[]
2021-01-25 00:06:08	0	881	Twitter for iPhone	False	1353494325229989890	"RT @AyannaPressley: Let's be clear: banking policy is a racial justice issue and no one knows that better than @mehrsabaradaran. 

From strengthening the Community Reinvestment Act to advancing robust consumer protection, Mehrsa would lead the OCC powerfully &amp; with intention."	[]
2021-01-25 00:02:48	0	15796	Twitter for iPhone	False	1353493484536258562	"RT @RepJayapal: No, no and no.  These people committed crimes and should be charged.

I was peacefully protesting Trump’s horrific policy of separating parents from their children with 600 other women, and we were ALL arrested—simply for sitting there &amp; refusing to leave. https://t.co/TTKyiVAKn7"	[]
2021-01-25 00:01:32	701	26	Twitter for iPhone	False	1353493166134063116	@GrahamAllen_1 After the guard was allowed back into the Capitol, I sent a team of three to hand deliver snacks at the Capitol since the resting spot was restored. There’s no timestamp on this post, but it’s possible they may have visited while our team was in the Capitol making the delivery.	[]
2021-01-23 20:56:26	0	17956	Twitter for iPhone	False	1353084195799764992	"RT @BernieSanders: In 1994, Democrats in power lost big because they were not bold.  

In 2010, it happened again. 

If we do not take aggressive action NOW to protect working families, it will happen in 2022. https://t.co/f3atTJAlNx"	[]
2021-01-23 20:04:32	0	6669	Twitter for iPhone	False	1353071135387054090	RT @IlhanMN: The OG and his mittens 🥰 https://t.co/eXcwD2eTfY	[]
2021-01-23 19:45:44	0	14701	Twitter for iPhone	False	1353066406049275905	"RT @jaketapper: This is a lie. 

Jan 4

BAIER: Are you trying to say that, as of January 20, that President Trump will be president?

HAWLEY: That depends on what happens on Wednesday. I mean, this is why we have the debate. https://t.co/6dK9zH4k8l"	[]
2021-01-23 19:29:34	88213	9157	Twitter for iPhone	False	1353062335477288960	"Hawley is Senator of Missouri. His constituents are ALL the people of Missouri - which is the same state that JUST elected sister @CoriBush, the first Black woman to ever represent MO in Congress.

So Hawley really needs to clarify who he considers a constituent &amp; who he doesn’t."	[]
2021-01-23 19:26:31	120913	16784	Twitter for iPhone	False	1353061569941315591	Sen. Hawley is trying to wiggle out of inciting a riot that killed 5 by saying “I was just representing my constituents” - but only those who wish to overturn the election and resurrect the Confederacy. https://t.co/39MdcfRwwc	[]
2021-01-23 18:35:59	131449	14484	Twitter for iPhone	False	1353048853683990529	"Our food produce workers wanted a $1 raise after risking their lives in COVID. They were denied, asked to pay more for healthcare, &amp; told “you’re lucky to even have a job.”

So they went on strike. Community supported them. Now they’re getting a $1.85 raise and $0 out of pocket. https://t.co/CT2evApP1n"	[]
